"","time","openingPrice","r","r1","r2","r3","volume","sentimentScore","event","isAboveAverage","event"
"18","01:17",161.63,-0.000309253,-0.000185609,0.000928218,0.001051005,132.39,0.314784547,3,TRUE,"General"
"19","01:18",161.6,-0.000185609,0.000928218,0.001051005,-0.00055583,181.24,0.352234994,3,TRUE,"AppleWatch"
"20","01:19",161.75,0.000928218,0.001051005,-0.00055583,0.000308966,151.72,0.254606526,3,FALSE,"AppleWatch"
"21","01:20",161.92,0.001051005,-0.00055583,0.000308966,0.00074129,126.43,0.200619048,3,FALSE,"AppleWatch"
"22","01:21",161.83,-0.00055583,0.000308966,0.00074129,-0.00037037,60.42,0.26786134,3,TRUE,"AppleWatch"
"23","01:22",161.88,0.000308966,0.00074129,-0.00037037,6.18e-05,168.85,0.185996956,3,FALSE,"AppleWatch"
"24","01:23",162,0.00074129,-0.00037037,6.18e-05,0.000123495,138.84,0.203931848,3,FALSE,"AppleWatch"
"25","01:24",161.94,-0.00037037,6.18e-05,0.000123495,0.000246959,55.18,0.290909091,3,TRUE,"AppleWatch"
"26","01:25",161.95,6.18e-05,0.000123495,0.000246959,-0.00080242,180.14,0.26921944,3,TRUE,"AppleWatch"
"27","01:26",161.97,0.000123495,0.000246959,-0.00080242,0.000679516,120.34,0.301657061,3,TRUE,"AppleWatch"
"28","01:27",162.01,0.000246959,-0.00080242,0.000679516,0.00111118,142.99,0.30311284,3,TRUE,"AppleWatch"
"29","01:28",161.88,-0.00080242,0.000679516,0.00111118,0.000678301,100.29,0.338561721,3,TRUE,"AppleWatch"
"30","01:29",161.99,0.000679516,0.00111118,0.000678301,0.001787035,295.67,0.320446585,3,TRUE,"AppleWatch"
"31","01:30",162.17,0.00111118,0.000678301,0.001787035,6.15e-05,310.68,0.351819836,3,TRUE,"AppleWatch"
"32","01:31",162.28,0.000678301,0.001787035,6.15e-05,0.00135318,645.53,0.397645951,3,TRUE,"AppleWatch"
"33","01:32",162.57,0.001787035,6.15e-05,0.00135318,0.000429975,332.75,0.421949829,3,TRUE,"AppleWatch"
"34","01:33",162.58,6.15e-05,0.00135318,0.000429975,0.000122797,403.33,0.329431818,3,TRUE,"AppleWatch"
"35","01:34",162.8,0.00135318,0.000429975,0.000122797,0.002148689,356.67,0.307237716,3,TRUE,"AppleWatch"
"36","01:35",162.87,0.000429975,0.000122797,0.002148689,-0.000306297,326.16,0.282860666,3,TRUE,"AppleWatch"
"37","01:36",162.89,0.000122797,0.002148689,-0.000306297,0.000183835,591.98,0.330677765,3,TRUE,"AppleWatch"
"38","01:37",163.24,0.002148689,-0.000306297,0.000183835,0.000306335,530.79,0.343325387,3,TRUE,"AppleWatch"
"39","01:38",163.19,-0.000306297,0.000183835,0.000306335,0.000612482,293.21,0.284807256,3,TRUE,"AppleWatch"
"40","01:39",163.22,0.000183835,0.000306335,0.000612482,-0.000428475,373.6,0.319449715,4,TRUE,"AppleTV"
"41","01:40",163.27,0.000306335,0.000612482,-0.000428475,0.001530925,456.71,0.316838843,4,TRUE,"AppleTV"
"42","01:41",163.37,0.000612482,-0.000428475,0.001530925,-0.001589728,278.87,0.274862132,4,TRUE,"AppleTV"
"43","01:42",163.3,-0.000428475,0.001530925,-0.001589728,0.000244963,438.05,0.284677419,4,TRUE,"AppleTV"
"44","01:43",163.55,0.001530925,-0.001589728,0.000244963,-0.000612257,380.2,0.286036866,4,TRUE,"AppleTV"
"45","01:44",163.29,-0.001589728,0.000244963,-0.000612257,-0.00018379,190.68,0.305376344,4,TRUE,"AppleTV"
"46","01:45",163.33,0.000244963,-0.000612257,-0.00018379,-0.000612745,162.6,0.29439314,4,TRUE,"AppleTV"
"47","01:46",163.23,-0.000612257,-0.00018379,-0.000612745,-0.001164929,228.03,0.309251412,4,TRUE,"AppleTV"
"48","01:47",163.2,-0.00018379,-0.000612745,-0.001164929,0.000920754,256.29,0.404456654,4,TRUE,"AppleTV"
"49","01:48",163.1,-0.000612745,-0.001164929,0.000920754,-0.00042929,386.18,0.348596939,4,TRUE,"AppleTV"
"50","01:49",162.91,-0.001164929,0.000920754,-0.00042929,0.001227069,215.51,0.276690141,4,TRUE,"AppleTV"
"51","01:50",163.06,0.000920754,-0.00042929,0.001227069,0.000674061,148.1,0.332411348,4,TRUE,"AppleTV"
"52","01:51",162.99,-0.00042929,0.001227069,0.000674061,6.12e-05,162.06,0.351466276,4,TRUE,"AppleTV"
"53","01:52",163.19,0.001227069,0.000674061,6.12e-05,0.001347131,297.57,0.31744012,5,TRUE,"iPhone8"
"54","01:53",163.3,0.000674061,6.12e-05,0.001347131,0.001161866,238.75,0.339959839,5,TRUE,"iPhone8"
"55","01:54",163.31,6.12e-05,0.001347131,0.001161866,-0.000977278,288.23,0.22564276,5,FALSE,"iPhone8"
"56","01:55",163.53,0.001347131,0.001161866,-0.000977278,0.000122279,482.66,0.254026611,5,FALSE,"iPhone8"
"57","01:56",163.72,0.001161866,-0.000977278,0.000122279,-0.001589436,439.33,0.220340587,5,FALSE,"iPhone8"
"58","01:57",163.56,-0.000977278,0.000122279,-0.001589436,-0.003000245,426.52,0.244775391,5,FALSE,"iPhone8"
"59","01:58",163.58,0.000122279,-0.001589436,-0.003000245,0.001596757,356.93,0.204347826,5,FALSE,"iPhone8"
"60","01:59",163.32,-0.001589436,-0.003000245,0.001596757,-0.000797106,580.26,0.276106459,5,TRUE,"iPhone8"
"61","02:00",162.83,-0.003000245,0.001596757,-0.000797106,-0.002270496,351.11,0.281511057,5,TRUE,"iPhone8"
"62","02:01",163.09,0.001596757,-0.000797106,-0.002270496,0.000615044,281.6,0.269477172,5,TRUE,"iPhone8"
"63","02:02",162.96,-0.000797106,-0.002270496,0.000615044,0.001966931,426.14,0.304697712,5,TRUE,"iPhone8"
"64","02:03",162.59,-0.002270496,0.000615044,0.001966931,-0.001288265,236.76,0.291186891,5,TRUE,"iPhone8"
"65","02:04",162.69,0.000615044,0.001966931,-0.001288265,0.001044226,208.85,0.224739336,5,FALSE,"iPhone8"
"66","02:05",163.01,0.001966931,-0.001288265,0.001044226,0.001534025,229.97,0.28832853,5,TRUE,"iPhone8"
"67","02:06",162.8,-0.001288265,0.001044226,0.001534025,-0.000735204,150.17,0.288575152,5,TRUE,"iPhone8"
"68","02:07",162.97,0.001044226,0.001534025,-0.000735204,-0.001103617,319.66,0.261906977,5,TRUE,"iPhone8"
"69","02:08",163.22,0.001534025,-0.000735204,-0.001103617,0.000245519,241.33,0.224354067,5,FALSE,"iPhone8"
"70","02:09",163.1,-0.000735204,-0.001103617,0.000245519,-0.000859107,193.25,0.237367915,5,FALSE,"iPhone8"
"71","02:10",162.92,-0.001103617,0.000245519,-0.000859107,0.000307088,125.08,0.289748369,5,TRUE,"iPhone8"
"72","02:11",162.96,0.000245519,-0.000859107,0.000307088,-0.000184196,150.57,0.259887295,5,TRUE,"iPhone8"
"73","02:12",162.82,-0.000859107,0.000307088,-0.000184196,0.00024564,167.46,0.224208376,5,FALSE,"iPhone8"
"74","02:13",162.87,0.000307088,-0.000184196,0.00024564,0.001412083,127.14,0.226709797,5,FALSE,"iPhone8"
"75","02:14",162.84,-0.000184196,0.00024564,0.001412083,0.001961866,113.77,0.347619048,5,TRUE,"iPhone8"
"76","02:15",162.88,0.00024564,0.001412083,0.001961866,-0.000856636,269.31,0.354080908,5,TRUE,"iPhone8"
"77","02:16",163.11,0.001412083,0.001961866,-0.000856636,0.000244963,698.79,0.321497765,6,TRUE,"iPhoneX"
"78","02:17",163.43,0.001961866,-0.000856636,0.000244963,-0.001530643,572.93,0.172943193,6,FALSE,"iPhoneX"
"79","02:18",163.29,-0.000856636,0.000244963,-0.001530643,-0.002330145,492.57,0.144516129,6,FALSE,"iPhoneX"
"80","02:19",163.33,0.000244963,-0.001530643,-0.002330145,-0.003810695,371.79,0.114679912,6,FALSE,"iPhoneX"
"81","02:20",163.08,-0.001530643,-0.002330145,-0.003810695,0.001357354,411.64,0.178177405,6,FALSE,"iPhoneX"
"82","02:21",162.7,-0.002330145,-0.003810695,0.001357354,-0.0008626,614.98,0.288074342,6,TRUE,"iPhoneX"
"83","02:22",162.08,-0.003810695,0.001357354,-0.0008626,-0.00049334,564.87,0.26568313,6,TRUE,"iPhoneX"
"84","02:23",162.3,0.001357354,-0.0008626,-0.00049334,-0.002282823,358.37,0.164035088,6,FALSE,"iPhoneX"
"85","02:24",162.16,-0.0008626,-0.00049334,-0.002282823,0.000432874,299.44,0.118192675,6,FALSE,"iPhoneX"
"86","02:25",162.08,-0.00049334,-0.002282823,0.000432874,0,361.03,0.12463548,6,FALSE,"iPhoneX"
"87","02:26",161.71,-0.002282823,0.000432874,0,0.000185437,312.11,0.09847561,6,FALSE,"iPhoneX"
"88","02:27",161.78,0.000432874,0,0.000185437,0.000741611,227.25,0.167965077,6,FALSE,"iPhoneX"
"89","02:28",161.78,0,0.000185437,0.000741611,0.001358612,159.61,0.175927328,6,FALSE,"iPhoneX"
"90","02:29",161.81,0.000185437,0.000741611,0.001358612,-0.000986741,230.72,0.179993041,6,FALSE,"iPhoneX"
"91","02:30",161.93,0.000741611,0.001358612,-0.000986741,0.000185197,174.89,0.188065234,6,FALSE,"iPhoneX"
"92","02:31",162.15,0.001358612,-0.000986741,0.000185197,0.001481299,166.02,0.150298954,6,FALSE,"iPhoneX"
"93","02:32",161.99,-0.000986741,0.000185197,0.001481299,-0.002588438,163.62,0.146158224,6,FALSE,"iPhoneX"
"94","02:33",162.02,0.000185197,0.001481299,-0.002588438,-0.002656945,336.38,0.146459166,6,FALSE,"iPhoneX"
"95","02:34",162.26,0.001481299,-0.002588438,-0.002656945,-0.003407472,296.38,0.092323097,6,FALSE,"iPhoneX"
"96","02:35",161.84,-0.002588438,-0.002656945,-0.003407472,-0.00180281,704.01,0.125687702,6,FALSE,"iPhoneX"
"97","02:36",161.41,-0.002656945,-0.003407472,-0.00180281,-0.002304291,637.6,0.148215962,6,FALSE,"iPhoneX"
"98","02:37",160.86,-0.003407472,-0.00180281,-0.002304291,0.002372035,885.86,0.145269673,6,FALSE,"iPhoneX"
"99","02:38",160.57,-0.00180281,-0.002304291,0.002372035,-0.00249097,578.69,0.159057677,6,FALSE,"iPhoneX"
"100","02:39",160.2,-0.002304291,0.002372035,-0.00249097,0.001685604,483.47,0.209265176,6,FALSE,"iPhoneX"
