"","time","sentimentScore","isAboveAverage","event"
"100","02:39",0.20926517571885,FALSE,"iPhoneX"
"101","02:40",0.184049079754601,FALSE,"iPhoneX"
"102","02:41",0.220684210526316,FALSE,"iPhoneX"
"103","02:42",0.209279918864097,FALSE,"iPhoneX"
"104","02:43",0.238367129135539,FALSE,"iPhoneX"
"105","02:44",0.243927355278093,FALSE,"iPhoneX"
"106","02:45",0.237863674147963,FALSE,"iPhoneX"
"107","02:46",0.238448275862069,FALSE,"iPhoneX"
"108","02:47",0.229312288613303,FALSE,"iPhoneX"
"109","02:48",0.212895377128954,FALSE,"iPhoneX"
"110","02:49",0.213888888888889,FALSE,"iPhoneX"
"111","02:50",0.153270609318996,FALSE,"Ending"
"112","02:51",0.150943396226415,FALSE,"Ending"
"113","02:52",0.169646017699115,FALSE,"Ending"
"114","02:53",0.197677865612648,FALSE,"Ending"
"115","02:54",0.212254901960784,FALSE,"Post-event"
"116","02:55",0.216830225711482,FALSE,"Post-event"
"117","02:56",0.249326923076923,FALSE,"Post-event"
"118","02:57",0.305152224824356,TRUE,"Post-event"
"119","02:58",0.268544303797468,TRUE,"Post-event"
"120","02:59",0.236938202247191,FALSE,"Post-event"
